HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.time.1,Answer.time.10,Answer.time.2,Answer.time.3,Answer.time.4,Answer.time.5,Answer.time.6,Answer.time.7,Answer.time.8,Answer.time.9,Approve,Reject
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3YJ6NA41JNXLBUY8NW14PJS7ACKPJD,A0094659I23DX98WJN4Q,Approved,Sat Oct 29 22:47:48 PDT 2022,Sat Oct 29 22:48:27 PDT 2022,Tue Nov 01 22:48:27 PDT 2022,Tue Nov 01 22:48:52 PDT 2022,,,39,100% (3/3),100% (1/1),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3WS1NTTKEAT2IB8SNLVTVKZ7DMNF07,A01630623P2M0XJMB2Q2U,Approved,Mon Nov 21 15:58:19 PST 2022,Mon Nov 21 15:59:14 PST 2022,Thu Nov 24 15:59:14 PST 2022,Thu Nov 24 16:00:04 PST 2022,,,55,100% (2/2),100% (1/1),100% (1/1),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3ATPCQ38JKR4JFN5KDKA9BI0QHVYAE,A02884502V1CRIH8EBXRT,Approved,Fri Nov 11 08:02:20 PST 2022,Fri Nov 11 08:02:41 PST 2022,Mon Nov 14 08:02:41 PST 2022,Mon Nov 14 08:03:06 PST 2022,,,21,100% (1/1),100% (1/1),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,37C0GNLMHRK0Y2GBY4GKGL6DE6LD6B,A0892705NR1OOYKLTG9I,Approved,Sun Nov 20 08:43:24 PST 2022,Sun Nov 20 08:44:35 PST 2022,Wed Nov 23 08:44:35 PST 2022,Wed Nov 23 08:44:42 PST 2022,,,71,100% (2/2),100% (1/1),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,31IBVUNM94GIBC98QIJIGDPX277VFV,A100N5ELBFB72X,Approved,Wed Oct 26 21:22:09 PDT 2022,Wed Oct 26 21:22:16 PDT 2022,Sat Oct 29 21:22:16 PDT 2022,Sat Oct 29 21:22:27 PDT 2022,,,7,100% (1/1),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3QJOXOW4XV87FBF3HFYLBZLKZFTEMW,A103BJIOJSDJL1,Approved,Thu Oct 27 03:53:42 PDT 2022,Thu Oct 27 03:53:53 PDT 2022,Sun Oct 30 03:53:53 PDT 2022,Sun Oct 30 03:54:47 PDT 2022,,,11,100% (2/2),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3AMYWKA6YN3R2Z70ODU0RFICEY7O6M,A10675CDTOG1S5,Approved,Sat Oct 29 07:06:17 PDT 2022,Sat Oct 29 07:06:45 PDT 2022,Tue Nov 01 07:06:45 PDT 2022,Tue Nov 01 07:07:33 PDT 2022,,,28,100% (1/1),100% (1/1),0% (0/0),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3ZPPDN2SL7DS8RW9S6UG6DF05MAE93,A10GE9MDVKZJLB,Approved,Sat Nov 26 00:08:49 PST 2022,Sat Nov 26 00:09:18 PST 2022,Tue Nov 29 00:09:18 PST 2022,Tue Nov 29 00:09:43 PST 2022,,,29,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3AAPLD8UCOYNCGWPGD73IGDPRCQHTD,A10GQZDZDWAA8T,Approved,Sat Nov 26 09:57:17 PST 2022,Sat Nov 26 09:57:24 PST 2022,Tue Nov 29 09:57:24 PST 2022,Tue Nov 29 09:57:50 PST 2022,,,7,100% (1/1),100% (1/1),100% (1/1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
3IKMEYR0M7CI7N5RDHL261O2Y6K2KR,3Z2MMRQPGP2237OLMF8NKV2RWJF8FR,Demand investigation of disordered stops in navigation services,What is the maximum number of stops do you need between starting point and destination in a navigation service?,navigation   disordered stops,$0.02 ,Wed Oct 26 20:24:48 PDT 2022,2000,BatchId:4912774;OriginalHitTemplateId:928390912;,86400,259200,Tue Jan 24 19:24:48 PST 2023,,,3AAJC4I4FS9FPY0EA5Z6GHULJPPJZH,A10L328WZRZT3J,Approved,Wed Oct 26 20:28:20 PDT 2022,Wed Oct 26 20:29:00 PDT 2022,Sat Oct 29 20:29:00 PDT 2022,Sat Oct 29 20:29:26 PDT 2022,,,40,100% (2/2),0% (0/0),0% (0/0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
